step,epoch,epoch_step,loss,learn_rate
121001,2,511,0.0997529,0.005
121501,2,1011,0.1428163,0.005
122001,2,1511,0.1076843,0.005
122501,2,2011,0.0899738,0.005
123001,2,2511,0.1531206,0.005
123501,2,3011,0.1277285,0.005
124001,2,3511,0.1189984,0.005
124501,2,4011,0.1111520,0.005
125001,2,4511,0.0736219,0.005
125501,2,5011,0.0780289,0.005
126001,2,5511,0.1159748,0.005
126501,2,6011,0.1466998,0.005
127001,2,6511,0.1390558,0.005
127501,2,7011,0.1405676,0.005
128001,2,7511,0.1573101,0.005
128501,2,8011,0.1245615,0.005
129001,2,8511,0.1366296,0.005
129501,2,9011,0.1473067,0.005
130001,2,9511,0.1287930,0.005
130501,2,10011,0.0954804,0.005
131001,2,10511,0.1713494,0.005
131501,2,11011,0.1313126,0.005
132001,2,11511,0.1472516,0.005
132501,2,12011,0.1295479,0.005
133001,2,12511,0.1568694,0.005
133501,2,13011,0.1139291,0.005
134001,2,13511,0.1090011,0.005
134501,2,14011,0.1130745,0.005
135001,2,14511,0.0986176,0.005
135501,2,15011,0.1444153,0.005
136001,2,15511,0.1050594,0.005
136501,2,16011,0.1214642,0.005
137001,2,16511,0.1273066,0.005
137501,2,17011,0.1121414,0.005
138001,2,17511,0.1507257,0.005
138501,2,18011,0.1088763,0.005
139001,2,18511,0.1432064,0.005
139501,2,19011,0.1292056,0.005
140001,2,19511,0.1473539,0.005
140501,2,20011,0.1021958,0.005
141001,2,20511,0.1008149,0.005
141501,2,21011,0.0923603,0.005
142001,2,21511,0.1349611,0.005
142501,2,22011,0.1468439,0.005
143001,2,22511,0.1113719,0.005
143501,2,23011,0.1203303,0.005
144001,2,23511,0.2057359,0.005
144501,2,24011,0.1531774,0.005
145001,2,24511,0.0947883,0.005
145501,2,25011,0.0727798,0.005
146001,2,25511,0.1514141,0.005
146501,2,26011,0.0873660,0.005
147001,2,26511,0.0875928,0.005
147501,2,27011,0.0905138,0.005
148001,2,27511,0.1071748,0.005
148501,2,28011,0.1085361,0.005
149001,2,28511,0.1075044,0.005
149501,2,29011,0.0790018,0.005
150001,2,29511,0.1533537,0.005
150501,2,30011,0.1145693,0.005
151001,2,30511,0.0975021,0.005
151501,2,31011,0.1460906,0.005
152001,2,31511,0.1550149,0.005
152501,2,32011,0.0794320,0.005
153001,2,32511,0.1431966,0.005
153501,2,33011,0.1029334,0.005
154001,2,33511,0.1230391,0.005
154501,2,34011,0.1796773,0.005
155001,2,34511,0.1628692,0.005
155501,2,35011,0.1314042,0.005
156001,2,35511,0.0678083,0.005
156501,2,36011,0.1388100,0.005
