step,epoch,epoch_step,loss,learn_rate
139501,18,5915,0.0964892,0.005
140001,18,6415,0.1150525,0.005
140501,18,6915,0.1193766,0.005
141001,18,7415,0.1274999,0.005
141501,19,57,0.1376842,0.005
142001,19,557,0.1056290,0.005
142501,19,1057,0.1038070,0.005
143001,19,1557,0.1164698,0.005
143501,19,2057,0.0793694,0.005
144001,19,2557,0.1483578,0.005
144501,19,3057,0.1081826,0.005
145001,19,3557,0.0823480,0.005
145501,19,4057,0.1258795,0.005
146001,19,4557,0.1611091,0.005
146501,19,5057,0.1113445,0.005
147001,19,5557,0.0607218,0.005
147501,19,6057,0.1677953,0.005
148001,19,6557,0.1298776,0.005
148501,19,7057,0.1286196,0.005
149001,19,7557,0.0897988,0.005
149501,20,199,0.0892499,0.005
150001,20,699,0.1554042,0.005
150501,20,1199,0.1026424,0.005
151001,20,1699,0.1370587,0.005
151501,20,2199,0.1412783,0.005
152001,20,2699,0.0892795,0.005
152501,20,3199,0.0903233,0.005
153001,20,3699,0.1285116,0.005
153501,20,4199,0.1387298,0.005
154001,20,4699,0.1130184,0.005
154501,20,5199,0.1275870,0.005
155001,20,5699,0.1183517,0.005
155501,20,6199,0.1036883,0.005
156001,20,6699,0.1028680,0.005
156501,20,7199,0.0962735,0.005
157001,20,7699,0.0988180,0.005
157501,21,341,0.1021800,0.005
158001,21,841,0.1250876,0.005
158501,21,1341,0.1334855,0.005
159001,21,1841,0.1353871,0.005
159501,21,2341,0.0787988,0.005
160001,21,2841,0.0979755,0.005
160501,21,3341,0.1236862,0.005
161001,21,3841,0.1331207,0.005
161501,21,4341,0.1244917,0.005
162001,21,4841,0.1159419,0.005
162501,21,5341,0.0915202,0.005
163001,21,5841,0.1218440,0.005
163501,21,6341,0.1279090,0.005
164001,21,6841,0.1448647,0.005
164501,21,7341,0.1007800,0.005
165001,21,7841,0.1455615,0.005
165501,22,483,0.1269801,0.005
166001,22,983,0.0976756,0.005
